step value prob
2 28 6.780589663237284e-11
3 28 2.272237113944186e-11
4 28 6.301618209081665e-11
1 29 3.774837414730614e-12
2 29 1.128165372254361e-10
3 29 3.642028419095009e-11
4 29 1.01712341873953e-10
1 30 1.118339662929262e-11
2 30 3.476961659037581e-10
3 30 1.113924914467345e-10
4 30 3.053240760158392e-10
1 31 3.783783112223531e-12
2 31 1.125081541087106e-10
3 31 3.571042006001078e-11
4 31 1.058894010493478e-10
1 32 1.346432180801302e-12
2 32 4.105728733261494e-11
3 32 1.298891427097901e-11
4 32 3.709154520923296e-11
1 33 7.393899256677783e-13
2 33 2.200208736775951e-11
3 33 6.973692381603488e-12
4 33 2.044145317740616e-11
1 34 1.095082240073227e-12
2 34 3.202248273492135e-11
3 34 1.028655534860394e-11
4 34 3.015984756012626e-11
1 35 2.848766405453803e-12
2 35 8.789897196235852e-11
3 35 2.850208916779964e-11
4 35 8.091928161717174e-11
1 36 1.223420024744824e-12
2 36 3.667292337622962e-11
3 36 1.165251186675516e-11
4 36 3.270035421881364e-11
1 37 7.873497500043658e-13
2 37 2.300231058659664e-11
3 37 7.473513718364693e-12
4 37 2.136743653134681e-11
1 38 1.314452133313638e-12
2 38 3.914716190479966e-11
3 38 1.258657145122693e-11
4 38 3.588499500834505e-11
1 39 6.873270322190727e-13
2 39 2.07287059397769e-11
3 39 6.721979694675963e-12
4 39 1.940548760290515e-11
1 40 5.042732754832768e-12
2 40 1.591466240236251e-10
3 40 5.164515034936602e-11
4 40 1.433322602577897e-10
1 41 7.600184734268297e-13
2 41 2.201091202738011e-11
3 41 7.025364690041327e-12
4 41 2.103967150204447e-11
1 42 9.935829921597503e-13
2 42 3.00476566611391e-11
3 42 9.785431771357526e-12
4 42 2.674185003446995e-11
1 43 7.437562845426883e-13
2 43 2.135400298238359e-11
3 43 6.879890023403364e-12
4 43 1.949019162765984e-11
1 44 6.82584639200141e-13
2 44 1.925561337702889e-11
3 44 6.322360406020565e-12
4 44 1.796979437178564e-11
1 45 1.200887919417115e-12
2 45 3.492759988212988e-11
3 45 1.113056601860531e-11
4 45 3.253195142205208e-11
1 46 5.863185352588799e-13
2 46 1.695129448816699e-11
3 46 5.58495718396682e-12
4 46 1.665101900299459e-11
1 47 6.638944434629453e-13
2 47 1.929137435056741e-11
3 47 6.220690400160228e-12
4 47 1.805031342589132e-11
1 48 1.345525941118971e-12
2 48 3.840423818253918e-11
3 48 1.240689618610428e-11
4 48 3.631252178406509e-11
1 49 1.141079552568628e-12
2 49 3.440414421291136e-11
3 49 1.081973554548636e-11
4 49 3.153429844323762e-11
1 50 1.028117190967478e-11
2 50 3.1936125647179e-10
3 50 1.02593433177687e-10
4 50 2.840471634733698e-10
1 51 3.243713362301878e-13
2 51 9.098571856075486e-12
3 51 2.909823582523907e-12
4 51 8.714445868581549e-12
1 52 9.649792025350864e-13
2 52 2.791101606607285e-11
3 52 8.790114932251453e-12
4 52 2.482234412026532e-11
1 53 6.377222894135764e-13
2 53 1.803779935377007e-11
3 53 5.96746808852902e-12
4 53 1.694271626752595e-11
1 54 5.583401336666245e-13
2 54 1.56006185591137e-11
3 54 4.940253711400647e-12
4 54 1.444476707491695e-11
1 55 6.773799508844903e-13
2 55 1.915399568638962e-11
3 55 6.307868476846084e-12
4 55 1.863662894522617e-11
1 56 5.239250928734865e-13
2 56 1.453944303073677e-11
3 56 4.635036778487974e-12
4 56 1.382795301602039e-11
1 57 2.235599051314192e-13
2 57 6.265163388415165e-12
3 57 2.017699831452219e-12
4 57 5.698438862576821e-12
1 58 2.132885833448848e-13
2 58 6.04921784402907e-12
3 58 1.957796445215808e-12
4 58 5.73960570693412e-12
1 59 4.37630575378492e-13
2 59 1.276728109166286e-11
3 59 4.008650430684278e-12
4 59 1.173843793496634e-11
